model_name,mode,accuracy,num_correct,num_samples,total_inference_time_sec,throughput_samples_per_sec,node_utilization,carbon_kg,energy_kWh,network_rx_bytes,network_tx_bytes,network_total_bytes,avg_latency_sec,std_latency_sec,min_latency_sec,max_latency_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,busy_time_sec,exit_0_count,exit_0_ratio,exit_1_count,exit_1_ratio,exit_2_count,exit_2_ratio,exit_3_count,exit_3_ratio,experiment_id,experiment_name,dataset_name,system_name,weights_path,data_dir,output_dir,is_early_exit_model,metrics_path,topology_label,category,worker_ids,num_workers,master_node_utilization,master_carbon_kg,master_energy_kWh,master_network_rx_bytes,master_network_tx_bytes,master_network_total_bytes,protocol_bytes_total,avg_protocol_bytes_per_sample,remote_compute_time_total_sec,remote_compute_time_avg_sec,worker1_compute_time_total_sec,worker1_compute_time_avg_sec,worker1_request_bytes_total,worker1_response_bytes_total,worker1_carbon_kg,worker1_energy_kWh,worker2_compute_time_total_sec,worker2_compute_time_avg_sec,worker2_request_bytes_total,worker2_response_bytes_total,worker2_carbon_kg,worker2_energy_kWh,workers_carbon_kg_total,workers_energy_kWh_total,system_carbon_kg_total,system_energy_kWh_total,worker3_compute_time_total_sec,worker3_compute_time_avg_sec,worker3_request_bytes_total,worker3_response_bytes_total,worker3_carbon_kg,worker3_energy_kWh,jetson_compute_time_total_sec,jetson_compute_time_avg_sec,jetson_request_bytes_total,jetson_response_bytes_total,jetson_carbon_kg,jetson_energy_kWh
resnet18_baseline,single_node_baseline,89.74,8974,10000,3914.291174888611,2.554740961570027,0.9788928954529539,0.003193515355793726,0.009488300806936144,769185.0,1455505.0,2224690.0,0.3831671821832657,0.0375769879848142,0.3066542148590088,0.6164166927337646,0.3761179447174072,0.4401803612709045,0.46939537286758426,3831.671821832657,,,,,,,,,exp1_1,baseline_single_node,cifar10,single_node_worker1,/home/rpi/Thesis-Experiments/checkpoints/resnet18_baseline.pth,/home/rpi/Thesis-Experiments/data,/home/rpi/Thesis-Experiments/results/exp1_single_model/01_single_node_baseline/run_001,False,C:\Users\User\Desktop\Github_Projects\Thesis-Experiments\results\exp1_single_model\01_single_node_baseline\run_001\metrics.json,Single Node Baseline,baseline,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet18_ee_entropy,single_node_early_exit,85.32,8532,10000,2674.0813274383545,3.739602044781314,0.9679727326856419,0.002187651861308026,0.006499764869859306,753077.0,1438630.0,2191707.0,0.2588437809944153,0.0807831982422585,0.16445302963256836,0.6879327297210693,0.23824000358581543,0.42059006690979,0.5309524035453796,2588.437809944153,6818.0,0.6818,2404.0,0.2404,615.0,0.0615,163.0,0.0163,exp1_2,ee_single_node,cifar10,single_node_worker1,/home/rpi/Thesis-Experiments/checkpoints/resnet18_ee_entropy.pth,/home/rpi/Thesis-Experiments/data,/home/rpi/Thesis-Experiments/results/exp1_single_model/02_single_node_ee/run_001,True,C:\Users\User\Desktop\Github_Projects\Thesis-Experiments\results\exp1_single_model\02_single_node_ee\run_001\metrics.json,Single Node Early Exit,single_node_ee,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet18_ee_entropy,distributed_early_exit_2workers,85.32,8532,10000,3219.664178133011,3.105913985662538,,,,,,,0.31029513664245606,0.07516214821951539,0.24893784523010254,0.6639692783355713,0.27389299869537354,0.5042384028434751,0.5787295126914979,3102.9513664245605,6818.0,0.6818,2404.0,0.2404,615.0,0.0615,163.0,0.0163,exp1_3,ee_homogeneous_2nodes,cifar10,homogeneous_2workers,/home/rpi/Thesis-Experiments/checkpoints/resnet18_ee_entropy.pth,/home/rpi/Thesis-Experiments/data,/home/rpi/Thesis-Experiments/results/exp1_single_model/03_homogeneous_2workers_ee/run_001,,C:\Users\User\Desktop\Github_Projects\Thesis-Experiments\results\exp1_single_model\03_homogeneous_2workers_ee\run_001\metrics.json,Homogeneous 2 Workers,distributed_homogeneous,"worker1,worker2",2,0.9637500045808726,0.0006908141496142072,0.0020524881589612013,213228852.0,8239033098.0,8452261950.0,8709084784.0,870908.4784,2240.059629678726,0.22400596296787262,2158.954525709152,0.21589545257091522,7877966670.0,421128330.0,0.0015136826508333455,0.004497324959246242,81.10510396957397,0.008110510396957397,408969413.0,1020371.0,0.0006953289686842688,0.0020659022048175693,0.002209011619517614,0.006563227164063811,0.0028998257691318216,0.008615715323025012,,,,,,,,,,,,
resnet18_ee_entropy,distributed_early_exit_3workers,85.32,8532,10000,3438.8595876693726,2.9079407707882967,,,,,,,0.33229817519187926,0.11916222063485216,0.2475872039794922,0.7698605060577393,0.25764644145965576,0.5998069763183592,0.6756055736541748,3322.9817519187927,6818.0,0.6818,2404.0,0.2404,615.0,0.0615,163.0,0.0163,exp1_4,ee_homogeneous_3nodes,cifar10,homogeneous_3workers,/home/rpi/Thesis-Experiments/checkpoints/resnet18_ee_entropy.pth,/home/rpi/Thesis-Experiments/data,/home/rpi/Thesis-Experiments/results/exp1_single_model/04_homogeneous_3workers_ee/run_001,,C:\Users\User\Desktop\Github_Projects\Thesis-Experiments\results\exp1_single_model\04_homogeneous_3workers_ee\run_001\metrics.json,Homogeneous 3 Workers,distributed_homogeneous,"worker1,worker2,worker3",3,0.9663034116990179,0.0007377557848794144,0.0021919571472526524,211115013.0,8239034533.0,8450149546.0,15391292254.0,1539129.2254,2123.9077472686768,0.21239077472686768,1748.3177280426025,0.17483177280426027,7877966670.0,3350174721.0,0.0012352158699458862,0.0036699681791994804,287.9868676662445,0.028798686766624452,3340974831.0,412186182.0,0.00075086526153901,0.0022309069076607516,0.0027291580418020316,0.008108641908769042,0.003466913826681446,0.010300599056021695,87.60315155982971,0.00876031515598297,408969446.0,1020404.0,0.0007430769103171355,0.002207766821908809,,,,,,
resnet18_ee_entropy,distributed_early_exit_2workers,85.32,8532,10000,3176.915078163147,3.1477076830715527,,,,,,,0.3059874001026154,0.06935520903647342,0.2443091869354248,0.6309723854064941,0.27092671394348145,0.4855315089225769,0.5322158002853394,3059.8740010261536,6818.0,0.6818,2404.0,0.2404,615.0,0.0615,163.0,0.0163,exp1_5,ee_heterogeneous,cifar10,heterogeneous_jetson_final,/home/rpi/Thesis-Experiments/checkpoints/resnet18_ee_entropy.pth,/home/rpi/Thesis-Experiments/data,/home/rpi/Thesis-Experiments/results/exp1_single_model/05_heterogeneous_pi_jetson_2workers/run_001,,C:\Users\User\Desktop\Github_Projects\Thesis-Experiments\results\exp1_single_model\05_heterogeneous_pi_jetson_2workers\run_001\metrics.json,Heterogeneous Pi + Jetson,distributed_heterogeneous,"jetson,worker1",2,0.9631588902260916,0.0006818637915365879,0.002025895617417234,211778667.0,8239023107.0,8450801774.0,8709074045.0,870907.4045,2179.064355134964,0.2179064355134964,2133.699244260788,0.2133699244260788,7877956670.0,421128330.0,0.0014885069111054275,0.004422524945793279,,,,,,,0.0014885069111054275,0.004422524945793279,0.0021703707026420153,0.006448420563210513,,,,,,,45.365110874176025,0.004536511087417603,408969434.0,1019611.0,,
resnet18_ee_entropy,distributed_early_exit_3workers,85.32,8532,10000,3428.1579356193542,2.917018465251465,,,,,,,0.33117904448509217,0.11347600548142757,0.2482588291168213,1.0034608840942383,0.2588294744491577,0.579722249507904,0.6247320795059205,3311.7904448509216,6818.0,0.6818,2404.0,0.2404,615.0,0.0615,163.0,0.0163,exp1_6,ee_heterogeneous_3nodes,cifar10,heterogeneous_2pis_jetson_final,/home/rpi/Thesis-Experiments/checkpoints/resnet18_ee_entropy.pth,/home/rpi/Thesis-Experiments/data,/home/rpi/Thesis-Experiments/results/exp1_single_model/06_heterogeneous_2pis_jetson_3workers/run_001,,C:\Users\User\Desktop\Github_Projects\Thesis-Experiments\results\exp1_single_model\06_heterogeneous_2pis_jetson_3workers\run_001\metrics.json,Heterogeneous 2 Pis + Jetson,distributed_heterogeneous,"jetson,worker1,worker2",3,0.9660553880673503,0.000735723441178504,0.0021859188207600825,210833321.0,8239060166.0,8449893487.0,15391285463.0,1539128.5463,2096.8228573799133,0.20968228573799133,1762.8994209766388,0.17628994209766388,7877966670.0,3350171539.0,0.0012406646296796986,0.0036861570700045115,286.8228096961975,0.02868228096961975,3340971778.0,412186311.0,0.0007480346125714455,0.002222496724558183,0.001988699242251144,0.005908653794562695,0.002724422683429648,0.008094572615322777,,,,,,,47.100626707077026,0.004710062670707703,408969494.0,1019671.0,,
