experiment,placement,model,communication_overhead_avg,communication_overhead_ratio_pct,communication_overhead_reduction_pct
2.0,naive,ResNet18EE,0.1319,18.72,0.0
3.1,first-split,ResNet18EE,0.1042,27.46,20.96634788023567
3.2,staggered-late,ResNet18EE,0.1068,27.05,19.015397795055993
3.3,cross-balanced,ResNet18EE,0.1066,27.6,19.13017343131798
2.0,naive,ResNet34EE,0.125,14.01,0.0
3.1,first-split,ResNet34EE,0.0992,23.05,20.663867025072783
3.2,staggered-late,ResNet34EE,0.1028,21.23,17.784963954940437
3.3,cross-balanced,ResNet34EE,0.1007,23.51,19.47421733353487
