experiment,placement,model,accuracy,inference_time,throughput,communication_overhead_avg,communication_overhead_ratio_pct,worker1_util,worker2_util,worker3_util,route_model_0,route_model_1,speedup_vs_exp2,inference_time_reduction_pct,communication_overhead_reduction_pct
2.0,naive,ResNet18EE,85.32,0.694,2.881,0.4084,58.85,79.81,1.97,0.49,-,-,1.0,0.0,0.0
3.1,first-split,ResNet18EE,85.32,0.4398,4.544,0.1036,23.56,56.04,92.68,4.07,worker1->worker3->worker3,worker2->worker3->worker3,1.577,36.62,74.62721145678285
3.2,staggered-late,ResNet18EE,85.32,0.4256,4.696,0.1048,24.62,54.45,93.54,2.67,worker1->worker2->worker3,worker2->worker3->worker3,1.63,38.67,74.33824666855546
3.3,cross-balanced,ResNet18EE,85.32,0.4212,4.745,0.1045,24.82,64.05,84.01,2.2,worker1->worker3->worker2,worker2->worker1->worker3,1.647,39.31,74.40009239566632
2.0,naive,ResNet34EE,86.38,0.8101,2.468,0.464,57.27,82.48,2.33,0.62,-,-,1.0,0.0,0.0
3.1,first-split,ResNet34EE,86.38,0.5149,3.882,0.1013,19.68,57.34,97.92,5.28,worker1->worker3->worker3,worker2->worker3->worker3,1.573,36.44,78.15693242940135
3.2,staggered-late,ResNet34EE,86.38,0.4413,4.529,0.1013,22.95,59.12,90.5,4.37,worker1->worker2->worker3,worker2->worker3->worker3,1.835,45.52,78.1644935458981
3.3,cross-balanced,ResNet34EE,86.38,0.5092,3.926,0.1026,20.15,66.85,90.03,2.74,worker1->worker3->worker2,worker2->worker1->worker3,1.591,37.14,77.89105689471211
